Genero,Especie,Muestra,Stem_length,Stem_diameter_cm,Microscopio,Aumento,Rayitas_dv,Diametro_de_vaso,Aumento,Rayitas_gpv,Grosor_pared_vaso,Rayitas_diam_fibra,Diametro_Fibras,Rayitas_gpf,Grosor_pared_fibras,Rayitas_dp,Diametro_parenquima
Euphorbia,diazlunanus,EPM10,,,,40X,13,26,100x,,,5,,,,,
Euphorbia,diazlunanus,EPM10,,,,40X,8,16,100x,,,7,,,,,
Euphorbia,diazlunanus,EPM10,,,,40X,12,24,100x,,,5,,,,,
Euphorbia,diazlunanus,EPM10,,,,40X,14,28,100x,,,3,,,,,
Euphorbia,diazlunanus,EPM10,,,,40X,10,20,100x,,,5,,,,,
Euphorbia,diazlunanus,EPM10,,,,40X,10,20,100x,,,4,,,,,
Euphorbia,diazlunanus,EPM10,,,,40X,14,28,100x,,,7,,,,,
Euphorbia,diazlunanus,EPM10,,,,40X,16,32,100x,,,8,,,,,
Euphorbia,diazlunanus,EPM10,,,,40X,19,38,100x,,,9,,,,,
Euphorbia,conzattii,971a,200,3,,100x,40,32,100x,2,1.6,20,,1,0.8,24,19.2
Euphorbia,conzattii,971a,200,3,,100x,50,40,100x,3,1.6,25,,1,0.8,16,12.8
Euphorbia,conzattii,971a,200,3,,100x,55,44,100x,2,1.6,15,,2,1.6,16,12.8
Euphorbia,conzattii,971a,200,3,,100x,36,28.8,100x,3,1.6,15,,1,0.8,23,18.4
Euphorbia,conzattii,971a,200,3,,100x,37,29.6,100x,2,1.6,17,,2,1.6,18,14.4
Euphorbia,conzattii,971a,200,3,,100x,40,32,100x,3,1.6,20,,1,0.8,25,20
Euphorbia,conzattii,971a,200,3,,100x,39,31.2,100x,2,1.6,14,,1,0.8,22,17.6
Euphorbia,conzattii,971a,200,3,,100x,47,37.6,100x,3,1.6,12,,1,0.8,18,14.4
Euphorbia,conzattii,971a,200,3,,100x,65,52,100x,1,1.6,13,,2,1.6,21,16.8
Euphorbia,conzattii,971a,200,3,,100x,40,32,100x,3,1.6,16,,2,1.6,20,16
Euphorbia,conzattii,971a,200,3,,100x,45,36,100x,2,1.6,20,,1,0.8,19,15.2
Euphorbia,conzattii,971a,200,3,,100x,57,45.6,100x,2,1.6,12,,1,0.8,18,14.4
Euphorbia,conzattii,971a,200,3,,100x,42,33.6,100x,2,1.6,10,,2,1.6,25,20
Euphorbia,conzattii,971a,200,3,,100x,45,36,100x,2,1.6,10,,2,1.6,24,19.2
Euphorbia,conzattii,971a,200,3,,100x,50,40,100x,4,1.6,15,,3,2.4,20,16
Euphorbia,conzattii,971a,200,3,,100x,60,48,100x,3,1.6,14,,2,1.6,22,17.6
Euphorbia,conzattii,971a,200,3,,100x,45,36,100x,3,1.6,13,,2,1.6,22,17.6
Euphorbia,conzattii,971a,200,3,,100x,42,33.6,100x,2,1.6,9,,1,0.8,25,20
Euphorbia,conzattii,971a,200,3,,100x,45,36,100x,3,1.6,13,,1,0.8,16,12.8
Euphorbia,conzattii,971a,200,3,,100x,50,40,100x,1,1.6,13,,2,1.6,20,16
Euphorbia,conzattii,971a,200,3,,100x,45,36,100x,2,1.6,11,,2,1.6,21,16.8
Euphorbia,conzattii,971a,200,3,,100x,39,31.2,100x,1,1.6,15,,1,0.8,26,20.8
Euphorbia,conzattii,971a,200,3,,100x,48,38.4,100x,2,1.6,15,,1,0.8,16,12.8
Euphorbia,conzattii,971a,200,3,,100x,44,35.2,100x,2,1.6,16,,1,0.8,19,15.2
Euphorbia,conzattii,971a,200,3,,100x,46,36.8,100x,3,1.6,8,,2,1.6,15,12
Euphorbia,conzattii,971a,200,3,,100x,44,35.2,100x,2,1.6,10,,1,0.8,14,11.2
Euphorbia,conzattii,971a,200,3,,100x,50,40,100x,2,1.6,10,,1,0.8,19,15.2
Euphorbia,conzattii,971a,200,3,,100x,55,44,100x,3,1.6,11,,2,1.6,15,12
Euphorbia,conzattii,971a,200,3,,100x,50,40,100x,1,1.6,17,,2,1.6,24,19.2
Euphorbia,conzattii,971a,200,3,,100x,48,38.4,100x,2,1.6,18,,1,0.8,16,12.8
Euphorbia,peritropoides,974,,,,100x,62,49.6,100x,3,1.6,12,,2,1.6,15,12
Euphorbia,peritropoides,974,,,,100x,35,28,100x,2,1.6,11,,1,0.8,19,15.2
Euphorbia,peritropoides,974,,,,100x,50,40,100x,2,1.6,14,,1,0.8,17,13.6
Euphorbia,peritropoides,974,,,,100x,50,40,100x,4,1.6,10,,3,2.4,20,16
Euphorbia,peritropoides,974,,,,100x,55,44,100x,2,1.6,13,,2,1.6,14,11.2
Euphorbia,peritropoides,974,,,,100x,52,41.6,100x,6,1.6,12,,2,1.6,26,20.8
Euphorbia,peritropoides,974,,,,100x,45,36,100x,2,1.6,11,,2,1.6,23,18.4
Euphorbia,peritropoides,974,,,,100x,55,44,100x,4,1.6,14,,2,1.6,25,20
Euphorbia,peritropoides,974,,,,100x,44,35.2,100x,2,1.6,15,,2,1.6,17,13.6
Euphorbia,peritropoides,974,,,,100x,46,36.8,100x,3,1.6,10,,1,0.8,14,11.2
Euphorbia,peritropoides,974,,,,100x,40,32,100x,2,1.6,10,,2,1.6,23,18.4
Euphorbia,peritropoides,974,,,,100x,44,35.2,100x,2,1.6,7,,2,1.6,24,19.2
Euphorbia,peritropoides,974,,,,100x,40,32,100x,3,1.6,16,,1,0.8,21,16.8
Euphorbia,peritropoides,974,,,,100x,57,45.6,100x,4,1.6,16,,2,1.6,20,16
Euphorbia,peritropoides,974,,,,100x,68,54.4,100x,3,1.6,17,,2,1.6,21,16.8
Euphorbia,peritropoides,974,,,,100x,46,36.8,100x,3,1.6,19,,3,2.4,22,17.6
Euphorbia,peritropoides,974,,,,100x,36,28.8,100x,2,1.6,20,,2,1.6,16,12.8
Euphorbia,peritropoides,974,,,,100x,56,44.8,100x,1,1.6,19,,3,2.4,20,16
Euphorbia,peritropoides,974,,,,100x,44,35.2,100x,3,1.6,15,,3,2.4,21,16.8
Euphorbia,peritropoides,974,,,,100x,44,35.2,100x,6,1.6,10,,2,1.6,24,19.2
Euphorbia,peritropoides,974,,,,100x,44,35.2,100x,1,1.6,17,,2,1.6,20,16
Euphorbia,peritropoides,974,,,,100x,38,30.4,100x,2,1.6,11,,2,1.6,16,12.8
Euphorbia,peritropoides,974,,,,100x,43,34.4,100x,2,1.6,15,,2,1.6,18,14.4
Euphorbia,peritropoides,974,,,,100x,65,52,100x,1,1.6,16,,2,1.6,15,12
Euphorbia,peritropoides,974,,,,100x,59,47.2,100x,2,1.6,24,,1,0.8,25,20
Euphorbia,peritropoides,974,,,,100x,56,44.8,100x,1,1.6,24,,2,1.6,12,9.6
Euphorbia,peritropoides,974,,,,100x,66,52.8,100x,3,1.6,15,,2,1.6,10,8
Euphorbia,peritropoides,974,,,,100x,61,48.8,100x,3,1.6,20,,1,0.8,12,9.6
Euphorbia,peritropoides,974,,,,100x,69,55.2,100x,2,1.6,13,,2,1.6,14,11.2
Euphorbia,peritropoides,974,,,,100x,65,52,100x,3,1.6,14,,2,1.6,28,22.4
Euphorbia,coalcomanensis,883,300,5,,40x,42,84,100x,5,1.6,19,,3,2.4,35,28
Euphorbia,coalcomanensis,883,300,5,,40x,40,80,100x,4,1.6,17,,4,3.2,29,23.2
Euphorbia,coalcomanensis,883,300,5,,40x,50,100,100x,4,1.6,20,,3,2.4,25,20
Euphorbia,coalcomanensis,883,300,5,,40x,51,102,100x,5,1.6,22,,4,3.2,32,25.6
Euphorbia,coalcomanensis,883,300,5,,40x,52,104,100x,4,1.6,20,,3,2.4,30,24
Euphorbia,coalcomanensis,883,300,5,,40x,53,106,100x,4,1.6,15,,2,1.6,25,20
Euphorbia,coalcomanensis,883,300,5,,40x,35,70,100x,5,1.6,14,,3,2.4,35,28
Euphorbia,coalcomanensis,883,300,5,,40x,43,86,100x,4,1.6,16,,2,1.6,20,16
Euphorbia,coalcomanensis,883,300,5,,40x,36,72,100x,4,1.6,22,,2,1.6,25,20
Euphorbia,coalcomanensis,883,300,5,,40x,48,96,100x,3,1.6,15,,4,3.2,23,18.4
Euphorbia,coalcomanensis,883,300,5,,40x,39,78,100x,4,1.6,18,,2,1.6,30,24
Euphorbia,coalcomanensis,883,300,5,,40x,55,110,100x,3,1.6,25,,3,2.4,30,24
Euphorbia,coalcomanensis,883,300,5,,40x,44,88,100x,4,1.6,24,,4,3.2,30,24
Euphorbia,coalcomanensis,883,300,5,,40x,36,72,100x,4,1.6,17,,3,2.4,24,19.2
Euphorbia,coalcomanensis,883,300,5,,40x,50,100,100x,3,1.6,14,,3,2.4,25,20
Euphorbia,coalcomanensis,883,300,5,,40x,33,66,100x,3,1.6,20,,3,2.4,26,20.8
Euphorbia,coalcomanensis,883,300,5,,40x,35,70,100x,10,1.6,21,,3,2.4,23,18.4
Euphorbia,coalcomanensis,883,300,5,,40x,53,106,100x,3,1.6,16,,3,2.4,20,16
Euphorbia,coalcomanensis,883,300,5,,40x,47,94,100x,4,1.6,15,,4,3.2,21,16.8
Euphorbia,coalcomanensis,883,300,5,,40x,38,76,100x,5,1.6,20,,2,1.6,16,12.8
Euphorbia,coalcomanensis,883,300,5,,40x,43,86,100x,4,1.6,23,,2,1.6,26,20.8
Euphorbia,coalcomanensis,883,300,5,,40x,47,94,100x,7,1.6,18,,2,1.6,25,20
Euphorbia,coalcomanensis,883,300,5,,40x,40,80,100x,5,1.6,19,,2,1.6,34,27.2
Euphorbia,coalcomanensis,883,300,5,,40x,50,100,100x,4,1.6,15,,3,2.4,15,12
Euphorbia,coalcomanensis,883,300,5,,40x,44,88,100x,4,1.6,9,,3,2.4,24,19.2
Euphorbia,coalcomanensis,883,300,5,,40x,50,100,100x,5,1.6,17,,5,4,30,24
Euphorbia,coalcomanensis,883,300,5,,40x,48,96,100x,3,1.6,15,,2,1.6,30,24
